run_id,figure_file,wall_time_sec,cycle_time_total_sec,sensor_on_threshold,high_info_quantile,goal_hotspot_quantile,goal_distance_weight,goal_w,head_goal_w,path_info_w,coverage_w,speed_w,low_info_fast_w,sensor_bce_w,sensor_off_w,sensor_smooth_w,v_high,v_low,tail_w_opt,discount_rate,seam_vel_w,seam_acc_w,bridge_len,warm_xy_noise_std,head_to_peak_dist_mean,peak_min_dist_mean,high_info_dwell_ratio_mean,sensor_f1_high_info_mean,low_info_on_rate_mean,composite_score,rank
13,run_013.png,24.582030057907104,24.58156728744507,0.8,0.8,0.82,0.18,3.0,18.0,1.25,0.8,0.4,0.55,2.2,1.8,0.02,0.01,0.065,0.9,0.3,12.0,5.0,12,0.003,0.40770484507083893,0.15720922220498323,0.22000000439584255,0.40667296413264153,0.32801723197136373,0.6970606386207093,2
14,run_014.png,24.053340911865234,24.052961826324463,0.8,0.8,0.82,0.18,3.0,18.0,1.25,0.8,0.4,0.55,2.2,2.4,0.02,0.01,0.065,0.9,0.3,12.0,5.0,12,0.003,0.40901828557252884,0.16052172612398863,0.2224999973550439,0.42001043950307965,0.31567607812355714,0.6693041281072292,6
15,run_015.png,23.883511066436768,23.88313341140747,0.8,0.8,0.82,0.18,3.0,18.0,1.25,0.8,0.4,0.55,2.2,3.0,0.02,0.01,0.065,0.9,0.3,12.0,5.0,12,0.003,0.40956031531095505,0.16051330044865608,0.21999999973922968,0.4197343665123373,0.3132904298082869,0.6520098398909471,8
16,run_016.png,24.36142086982727,24.360964059829712,0.8,0.8,0.82,0.18,3.0,18.0,1.25,1.1,0.4,0.55,2.2,1.8,0.02,0.01,0.065,0.9,0.3,12.0,5.0,12,0.003,0.4097057469189167,0.16175874415785074,0.23750000027939677,0.4463420572124163,0.29831245514355287,0.7354078799181963,1
17,run_017.png,25.159215927124023,25.15867805480957,0.8,0.8,0.82,0.18,3.0,18.0,1.25,1.1,0.4,0.55,2.2,2.4,0.02,0.01,0.065,0.9,0.3,12.0,5.0,12,0.003,0.40869003161787987,0.1598364831879735,0.21750000305473804,0.4017169647292598,0.3258677877663164,0.6458645973424968,9
18,run_018.png,25.034072875976562,25.0334894657135,0.8,0.8,0.82,0.18,3.0,18.0,1.25,1.1,0.4,0.55,2.2,3.0,0.02,0.01,0.065,0.9,0.3,12.0,5.0,12,0.003,0.4083485044538975,0.15742175374180079,0.22000000439584255,0.40761993382961126,0.32541306530469705,0.688762954126162,3
19,run_019.png,26.350435972213745,26.34952974319458,0.8,0.8,0.82,0.18,4.5,10.0,1.25,0.8,0.4,0.55,2.2,1.8,0.02,0.01,0.065,0.9,0.3,12.0,5.0,12,0.003,0.42843907326459885,0.17895937152206898,0.25250000320374966,0.5176166426166426,0.2872903138528139,0.4585769366803064,43
20,run_020.png,24.56094264984131,24.55993628501892,0.8,0.8,0.82,0.18,4.5,10.0,1.25,0.8,0.4,0.55,2.2,2.4,0.02,0.01,0.065,0.9,0.3,12.0,5.0,12,0.003,0.42798513174057007,0.1761929001659155,0.2474999981932342,0.4949672729508563,0.3009942004364854,0.45496648935963796,44
21,run_021.png,24.820236682891846,24.81879186630249,0.8,0.8,0.82,0.18,4.5,10.0,1.25,0.8,0.4,0.55,2.2,3.0,0.02,0.01,0.065,0.9,0.3,12.0,5.0,12,0.003,0.4282655380666256,0.17658266238868237,0.2474999981932342,0.4748444863807013,0.2913822488142245,0.4407690914920363,46
22,run_022.png,24.26670789718628,24.264333963394165,0.8,0.8,0.82,0.18,4.5,10.0,1.25,1.1,0.4,0.55,2.2,1.8,0.02,0.01,0.065,0.9,0.3,12.0,5.0,12,0.003,0.42883065342903137,0.17725473083555698,0.24750000052154064,0.5116767404503254,0.2915913891216311,0.44443153251789996,45
23,run_023.png,25.30636978149414,25.306004285812378,0.8,0.8,0.82,0.18,4.5,10.0,1.25,1.1,0.4,0.55,2.2,2.4,0.02,0.01,0.065,0.9,0.3,12.0,5.0,12,0.003,0.4277808554470539,0.17602364718914032,0.24750000052154064,0.5082135369871219,0.2967997224549644,0.4658829780879695,42
24,run_024.png,24.253530263900757,24.252967596054077,0.8,0.8,0.82,0.18,4.5,10.0,1.25,1.1,0.4,0.55,2.2,3.0,0.02,0.01,0.065,0.9,0.3,12.0,5.0,12,0.003,0.4284948892891407,0.17788389138877392,0.25250000320374966,0.5114478114478114,0.2872903138528139,0.4660872635566313,41
25,run_025.png,24.391984939575195,24.391427278518677,0.8,0.8,0.82,0.18,4.5,14.0,1.25,0.8,0.4,0.55,2.2,1.8,0.02,0.01,0.065,0.9,0.3,12.0,5.0,12,0.003,0.4247114583849907,0.1717345668002963,0.24000000534579158,0.48712058550768234,0.29495247021020216,0.498959999022056,33
26,run_026.png,24.15022587776184,24.149596214294434,0.8,0.8,0.82,0.18,4.5,14.0,1.25,0.8,0.4,0.55,2.2,2.4,0.02,0.01,0.065,0.9,0.3,12.0,5.0,12,0.003,0.4242505133152008,0.17145446967333555,0.2425000029616058,0.49184704184704187,0.2903910236384463,0.5218016157813599,27
27,run_027.png,25.234503984451294,25.232872009277344,0.8,0.8,0.82,0.18,4.5,14.0,1.25,0.8,0.4,0.55,2.2,3.0,0.02,0.01,0.065,0.9,0.3,12.0,5.0,12,0.003,0.4239157475531101,0.17047254368662834,0.24250000063329935,0.4680216165413533,0.30258004318154696,0.5220335197118915,26
28,run_028.png,25.45684504508972,25.455252408981323,0.8,0.8,0.82,0.18,4.5,14.0,1.25,1.1,0.4,0.55,2.2,1.8,0.02,0.01,0.065,0.9,0.3,12.0,5.0,12,0.003,0.4247879981994629,0.17182562500238419,0.24500000057742,0.11000000000000001,0.09327490090924062,0.3916897520774552,53
29,run_029.png,24.172677040100098,24.171958208084106,0.8,0.8,0.82,0.18,4.5,14.0,1.25,1.1,0.4,0.55,2.2,2.4,0.02,0.01,0.065,0.9,0.3,12.0,5.0,12,0.003,0.4247859865427017,0.17108367569744587,0.23750000027939677,0.4984242222332366,0.27380549004260346,0.5026515834312953,32
30,run_030.png,26.077942848205566,26.077500343322754,0.8,0.8,0.82,0.18,4.5,14.0,1.25,1.1,0.4,0.55,2.2,3.0,0.02,0.01,0.065,0.9,0.3,12.0,5.0,12,0.003,0.42400331795215607,0.17099242936819792,0.24500000057742,0.48156328320802,0.30326382184765255,0.5335702546527489,25
31,run_031.png,26.713867902755737,26.712756633758545,0.8,0.8,0.82,0.18,4.5,18.0,1.25,0.8,0.4,0.55,2.2,1.8,0.02,0.01,0.065,0.9,0.3,12.0,5.0,12,0.003,0.417731087654829,0.16406546253710985,0.2425000029616058,0.4433315527065528,0.3078252684194084,0.6432709198734207,10
32,run_032.png,27.184778928756714,27.183751106262207,0.8,0.8,0.82,0.18,4.5,18.0,1.25,0.8,0.4,0.55,2.2,2.4,0.02,0.01,0.065,0.9,0.3,12.0,5.0,12,0.003,0.4163839668035507,0.1629532938823104,0.2475000019185245,0.43829454858866623,0.3188187471177162,0.6883819306038611,4
33,run_033.png,30.630969047546387,30.62930393218994,0.8,0.8,0.82,0.18,4.5,18.0,1.25,0.8,0.4,0.55,2.2,3.0,0.02,0.01,0.065,0.9,0.3,12.0,5.0,12,0.003,0.41572052985429764,0.1609569638967514,0.23750000027939677,0.43705778301886794,0.3146815752223966,0.6692904946055022,7
34,run_034.png,26.31278419494629,26.312079191207886,0.8,0.8,0.82,0.18,4.5,18.0,1.25,1.1,0.4,0.55,2.2,1.8,0.02,0.01,0.065,0.9,0.3,12.0,5.0,12,0.003,0.41801633685827255,0.16418382246047258,0.24000000301748514,0.4454148860398861,0.30456417016567394,0.6287905285226061,12
35,run_035.png,25.686434984207153,25.686023950576782,0.8,0.8,0.82,0.18,4.5,18.0,1.25,1.1,0.4,0.55,2.2,2.4,0.02,0.01,0.065,0.9,0.3,12.0,5.0,12,0.003,0.41660600528120995,0.1619047448039055,0.2425000029616058,0.4433315527065528,0.3078252684194084,0.6777015841586314,5
36,run_036.png,25.17689800262451,25.17618155479431,0.8,0.8,0.82,0.18,4.5,18.0,1.25,1.1,0.4,0.55,2.2,3.0,0.02,0.01,0.065,0.9,0.3,12.0,5.0,12,0.003,0.41781122237443924,0.16589895263314247,0.24250000063329935,0.46519916142557655,0.2928137530672093,0.6369016000843499,11
