combo_idx,HEAD_GOAL_W,ORDER_W_SCALE,COVERAGE_W,SPEED_W,SENSOR_BCE_W,GOAL_DISTANCE_WEIGHT,head_dist_h1_at_tau,mean_hotspot_coverage_dist,high_info_dwell_ratio,high_info_dwell_area_norm,low_info_idle_rate,sensor_f1_high_info,split_jump_metric,head_success_rate,mean_cycle_time_sec,mean_iterations_used,composite_score
20,5.0,1.2,0.3,0.55,0.45,0.7,0.3780258670449257,0.16695335538436967,0.3750000037252903,1.2499999627470986,0.5274621212121212,0.35,0.04140691098291427,0.0,8.277519345283508,500.0,0.6225008356286071
21,5.0,1.2,0.3,0.55,0.45,1.0,0.3780258670449257,0.16695335538436967,0.3750000037252903,1.2499999627470986,0.5274621212121212,0.35,0.04140691098291427,0.0,9.516617596149445,500.0,0.6225008356286071
22,5.0,1.2,0.3,0.55,0.7,0.7,0.2781649734824896,0.24447608180344105,0.11250000074505806,0.3749999875823662,0.3666666666666667,0.11538461538461538,0.035622694180347025,0.25,8.239827513694763,500.0,0.5658129179388496
23,5.0,1.2,0.3,0.55,0.7,1.0,0.2781649734824896,0.24447608180344105,0.11250000074505806,0.3749999875823662,0.3666666666666667,0.11538461538461538,0.035622694180347025,0.25,8.474707543849945,500.0,0.5658129179388496
24,5.0,1.2,0.55,0.35,0.45,0.7,0.377818800508976,0.16656499356031418,0.3750000037252903,1.2499999627470986,0.5274621212121212,0.35,0.041414002247620374,0.0,8.479637324810028,500.0,0.6234373090621348
25,5.0,1.2,0.55,0.35,0.45,1.0,0.377818800508976,0.16656499356031418,0.3750000037252903,1.2499999627470986,0.5274621212121212,0.35,0.041414002247620374,0.0,8.760585010051727,500.0,0.6234373090621348
26,5.0,1.2,0.55,0.35,0.7,0.7,0.31580764427781105,0.20643229316920042,0.18750000093132257,0.6249999782691408,0.38421052631578945,0.03846153846153846,0.04345380677841604,0.0,8.667218029499054,500.0,0.5068608851735851
27,5.0,1.2,0.55,0.35,0.7,1.0,0.31580764427781105,0.20643229316920042,0.18750000093132257,0.6249999782691408,0.38421052631578945,0.03846153846153846,0.04345380677841604,0.0,8.708989024162292,500.0,0.5068608851735851
28,5.0,1.2,0.55,0.55,0.45,0.7,0.3778187967836857,0.16656478975589076,0.3750000037252903,1.2499999627470986,0.5274621212121212,0.35,0.04141421668464318,0.0,8.624316811561584,500.0,0.6234366930675205
29,5.0,1.2,0.55,0.55,0.45,1.0,0.3778187967836857,0.16656478975589076,0.3750000037252903,1.2499999627470986,0.5274621212121212,0.35,0.04141421668464318,0.0,10.111462533473969,500.0,0.6234366930675205
30,5.0,1.2,0.55,0.55,0.7,0.7,0.3158106952905655,0.2064270454769333,0.18750000093132257,0.6249999782691408,0.38421052631578945,0.03846153846153846,0.04346954473294318,0.0,9.766099452972412,500.0,0.5067949931343291
31,5.0,1.2,0.55,0.55,0.7,1.0,0.3158106952905655,0.2064270454769333,0.18750000093132257,0.6249999782691408,0.38421052631578945,0.03846153846153846,0.04346954473294318,0.0,8.542914927005768,500.0,0.5067949931343291
32,8.0,0.9,0.3,0.35,0.45,0.7,0.34866227582097054,0.1646526302210987,0.3125000046566129,1.0416666407965962,0.5624156545209177,0.3348901098901099,0.05224976653698832,0.0,8.533974707126617,500.0,0.5815233827354623
33,8.0,0.9,0.3,0.35,0.45,1.0,0.29966639541089535,0.24508841149508953,0.3875000001862645,1.2916666159613284,0.5142543859649122,0.2636363636363636,0.052502820384688675,0.25,8.415456295013428,500.0,0.5775155094820488
34,8.0,0.9,0.3,0.35,0.7,0.7,0.35055624321103096,0.163617221172899,0.3125000046566129,1.0416666407965962,0.5624156545209177,0.352994227994228,0.053316011966671795,0.0,8.526835322380066,500.0,0.5835180387830199
35,8.0,0.9,0.3,0.35,0.7,1.0,0.35055624321103096,0.163617221172899,0.3125000046566129,1.0416666407965962,0.5624156545209177,0.352994227994228,0.053316011966671795,0.0,8.82954204082489,500.0,0.5835180387830199
36,8.0,0.9,0.3,0.55,0.45,0.7,0.34866224974393845,0.16465216130018237,0.3125000046566129,1.0416666407965962,0.5624156545209177,0.3348901098901099,0.052249843487516046,0.0,8.747029721736908,500.0,0.5815237957248476
